Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of internal moderators employed by the provider,Total number,"2,97",
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of external moderators contracted by the provider,Total number,5,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,Total number,30,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,bg,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,hr,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,cs,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,da,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,nl,1,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,en,30,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,et,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,fi,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,fr,5,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,de,17,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,el,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,hu,1,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,ga,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,it,4,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,lv,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,lt,1,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,mt,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pl,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,pt,3,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,ro,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sk,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sl,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,es,5,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Human resources dedicated to content moderation,Number of total moderators with sufficient linguistic expertise,sv,0,
