Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions non prises,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de restrictions nouvellement imposées à la suite d’une réclamation soumise par l’intermédiaire du mécanisme interne,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Nombre total,0,
