Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Aliexpress,2025-07-01/2025-12-31,TOTAL,,TOTAL,238,1036,48,48,273,48,48,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Aliexpress,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
