Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,fi,1356,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,fr,86335,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,ga,11,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,hr,436,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,hu,768,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,it,23661,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,lt,278,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,lv,234,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,mt,1,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,nl,30061,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,pl,8967,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,pt,7635,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,ro,9050,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sk,611,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sl,101,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sv,4459,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,bg,0.99,"LinkedIn uses two types of automated systems for content moderation relevant to this report: (1) LinkedIn uses an automated system to identify and remove policy-violating content (""System 1""); (2) LinkedIn uses an automated system to identify and restrict policy-violating accounts (e.g. fake accounts) (""System 2""). LinkedIn reports measures of the precision, accuracy, and recall of those systems by language of the content for the official languages of the EU. LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Bulgarian is not a supported language. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,bg,0.98,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,bg,0.97,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,cs,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,cs,0.98,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,cs,0.49,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,da,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,da,0.98,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,da,0.38,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,de,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,de,0.92,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,de,0.56,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,el,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,el,0.95,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,el,0.78,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,en,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,en,0.98,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,en,0.49,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,es,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,es,0.97,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,es,0.63,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,et,0.99,LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Estonian is not a supported language. ,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,et,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,et,0.16,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,fi,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,fi,0.92,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,fi,0.41,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,fr,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,fr,0.96,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,fr,0.57,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,ga,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Irish is not a supported language. LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,ga,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Irish is not a supported language.  LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,ga,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Irish is not a supported language.  LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,hr,0.99,LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Croatian is not a supported language. ,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,hr,0.97,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,hr,0.89,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,hu,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,hu,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,hu,0.66,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,it,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,it,0.98,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,it,0.65,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,lt,0.99,LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Lithuanian is not a supported language. ,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,lt,0.93,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,lt,0.74,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,lv,0.99,LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Latvian is not a supported language. ,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,lv,0.92,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,lv,0.80,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,mt,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Maltese is not a supported language.  LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,mt,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Maltese is not a supported language.  LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,mt,N/A,"LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Maltese is not a supported language.  LinkedIn's automated system did not act on a sufficient amount of content in Irish or Maltese during the reporting period to calculate accuracy, precision, or recall. ",,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,nl,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,nl,0.93,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,nl,0.38,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,pl,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,pl,0.94,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,pl,0.57,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,pt,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,pt,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,pt,0.65,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,ro,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,ro,0.99,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,ro,0.59,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,sk,0.99,LinkedIn'w website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Slovak is not a supported language. ,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Precision,sk,0.94,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Recall,sk,0.88,,,,,,,,,,,,,,,,,,,
Only for VLOPs,Linkedin,2026-01-01/2026-06-30,System 1 - Automated content moderation system,Accuracy of the automated means - Accuracy,sl,0.99,LinkedIn's website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Slovenian is not a supported language. ,,,,,,,,,,,,,,,,,,
