Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,TOTAL,,896,0,896,0,3,,0,0,88,0,,,"Due to system limitations, this metric may slightly under-count the number of items of information reported, due to our reporting forms primarily allowing users to report accounts or profiles rather than individual pieces of content.",,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,48,0,48,0,3,,0,0,7,0,,,"Due to system limitations, this metric may slightly under-count the number of items of information reported, due to our reporting forms primarily allowing users to report accounts or profiles rather than individual pieces of content.",,,,,,,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,41,0,41,0,,,0,0,0,0,,,"Due to system limitations, this metric may slightly under-count the number of items of information reported, due to our reporting forms primarily allowing users to report accounts or profiles rather than individual pieces of content.",,,,,,,
