Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,7772.0,0.0,,0.0,0.1 hours,0.1 hours,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_OTHER,Scams,7772.0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,0.0,0.0,,0.0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0.0,0.0,,0.0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,7802.0,0.0,,0.0,0.1 hours,0.1 hours,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,KEYWORD_OTHER,Bodily Harm,7802.0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pornhub,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,9696.0,0.0,,0.0,0.1 hours,0.1 hours,,,,,,,,,,,,,,
