Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,TOTAL,,"353,997",730,"481,634","3,249",48.18,10.71,"1,756",0,"87,519",476,"All Article 16 DSA notices are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions.",,,,"The time periods refer to the time between when the notice was submitted and the first action we took in response to the notice. In instances where there are multiple pieces of content reported, we calculate turnaround time as the time between when the notice was submitted and the first action we take. As an example, if a notice contained two pieces of content and we actioned one piece within 24 hours and the other within 7 days, 24 hours was used for the median calculation. Some decisions can require different time frames due to specific nuances. More complex decisions may require additional guidance from specialised staff and therefore more time. 

The median time to take action against Article 16 notices considers the time between submission and actions taken on the basis of the law or the terms and conditions of the service. Article 16 notices not resulting in an action taken are not included in the calculation.
",,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Instagram,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0.00,0,0,0,0,,,,,,,,,,
