Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_DEFAMATION,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_DISCRIMINATION,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_HATE_SPEECH,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_OTHER,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_DESIGN_INFRINGEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_PATENT_INFRINGEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
