Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,Description of the sub-category ,Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,X,2026-01-01/2026-06-30,TOTAL,,"148,269,257","146,700,384","1,132,511",0,"1,390,342","131,010,301",0,0,0,0,"46,563",0,0,0,"14,676,728","12,812",Represents the sum of all own initiative measures taken and identified in columns H through on the bases on terms of service. ,"Includes the number of measures taken after automated detection, including AI-based content moderation systems, automated enforcement systems for content removal, automated account-level enforcement for specific policy violations, auto-closed moderation cases, and automated advertising policy review decisions. ","Includes measures that require content removal either globally or locally (ie.., where content visibility is restricted in a specific EU Member State pursuant to applicable national law).
",X does not this measure as part of its content moderation.,"Includes measures where content distribution and visibility is demoted, including measures where content is labeled and also result in Visibility restriction.","Includes measures where content is age restricted for under 18 users, under X’s sensitive and graphic content labels. This content may also be labeled as sensitive or graphic where such content is available to users who have been determined to be over 18. ",X does not take measures that restrict interactions as part of its content moderation.,"X's measures where content is labeled also result in Visibility restriction Demotion and, therefore, have only been reported in reported in Column J to avoid duplication.",X does not take other measures that restrict visibility as part of its content moderation.,X does not take other measures that result in monetary restriction suspension.,Includes measures that result in the termination of monetary payments under X's monetisation policies. ,X does not take other monetary restriction measures as part of its content moderation.,X does not take other measures that terminate the provision of the service separate from account suspension.,X does not take other measures that terminate the provision of the service separate from account termination.,Includes measures that result in account suspensions.,Includes measures that result in permanent account termination.
All,X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,391,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,Includes measures taken under X’s Illegal and Regulated Behaviours policy.,391,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"6,813",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,813",0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,"6,803",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,803",0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
